#for letting users know that Sugimoto et al. genes with zero levels of expression are due to the fact that they aren't on the Qiagen V1.0 oligo array that Sugimoto et al. used (Chatfield et al., 2012; Lookup from 2009-07-29)
AtMg00640	244901_at
At1g49245	260768_at
At1g14640	260778_at
At1g06225	260795_at
At1g78360	260796_at
At1g43715	260808_at
At1g43730	260809_at
At1g43745	260810_s_at
At1g43755	260810_s_at
At1g43740	260811_s_at
At1g43750	260811_s_at
At1g06930	260816_at
260825_at	260825_at
At1g06740	260827_at
At1g43660	260836_at
At1g29060	260843_at
At1g17300	260846_at
At1g21950	260853_at
At1g43810	260860_at
At1g43840	260861_at
At1g43870	260863_at
At1g43886	260866_at
At1g43790	260867_at
At1g21580	260873_at
260874_at	260874_at
At1g29160	260887_at
At1g29120	260889_at
At1g29180	260893_at
At1g21370	260899_at
At1g02710	260905_at
At1g02570	260907_at
At1g02490	260911_at
260919_at	260919_at
260920_at	260920_at
At1g21340	260925_at
At1g21360	260926_at
At1g02680	260929_at
At1g02620	260930_at
At1g02550	260931_at
At1g02470	260933_at
At1g45110	260935_at
At1g45145	260943_at
At1g06130	260954_at
At1g05960	260961_at
At1g44980	260962_at
At1g44990	260963_at
At1g45090	260965_s_at
At2g12100	260965_s_at
260971_at	260971_at
At1g53530	260972_at
At1g53440	260974_at
At1g53650	260976_at
At1g53450	260989_at
At1g12180	260990_at
261009_at	261009_at
At1g01225	261025_at
At1g17455	261039_at
At1g07530	261062_at
At1g07510	261064_at
At1g07500	261065_at
At1g07485	261066_at
At1g07450	261068_at
At1g07410	261069_at
At1g07290	261074_at
At1g07280	261075_at
At1g17350	261087_at
At1g07570	261089_at
At1g07550	261091_at
261092_at	261092_at
At1g62890	261093_at
At1g62920	261094_at
At1g75360	261115_at
At1g04820	261129_at
At1g19630	261134_at
At1g34490	261156_s_at
At1g34520	261156_s_at
At1g34570	261166_s_at
At3g15750	261166_s_at
At1g04945	261168_at
At1g34590	261180_at
At1g34545	261184_at
At1g34530	261186_at
At1g33000	261188_at
At1g12850	261201_at
At1g12810	261209_at
At1g12880	261212_at
261214_at	261214_at
At1g19980	261219_at
At1g19970	261220_at
At1g20110	261231_at
At1g32830	261234_x_at
At2g04970	261234_x_at
At2g14140	261234_x_at
At3g47270	261234_x_at
At1g32840	261235_x_at
At1g32880	261236_at
At1g32980	261237_at
At1g32950	261241_at
At1g20135	261245_at
At1g05880	261249_at
At1g26660	261259_at
At1g26730	261261_at
At1g26795	261271_at
At1g26665	261272_at
At1g20230	261277_at
At1g35740	261281_at
At1g35790	261284_at
At1g48430	261294_at
261297_at	261297_at
At1g48440	261304_at
At1g48598	261309_at
At1g48600	261309_at
At1g44835	261328_at
261329_at	261329_at
At1g44935	261331_at
At1g42390	261332_s_at
At1g44840	261332_s_at
At2g10400	261332_s_at
At4g03981	261332_s_at
261349_at	261349_at
At1g41860	261357_at
At1g41900	261359_at
At1g41870	261360_at
261361_at	261361_at
At1g53110	261365_at
At1g05400	261380_at
At1g35050	261389_s_at
At1g35735	261389_s_at
At1g41835	261389_s_at
At1g79780	261392_at
At1g79680	261394_at
At1g79640	261401_at
At1g07795	261414_at
At1g07830	261418_at
At1g07615	261435_at
At1g07745	261437_at
At1g28395	261439_at
At1g21160	261447_at
At1g08740	261452_s_at
At1g21020	261452_s_at
At2g29240	261452_s_at
At3g26530	261452_s_at
At5g44890	261452_s_at
At1g07860	261461_at
261478_at	261478_at
At1g14530	261482_at
At1g14340	261487_at
At1g28360	261496_at
At1g71840	261513_at
At1g63550	261543_at
At1g63500	261547_at
At1g63480	261548_at
At1g01190	261574_at
At1g01130	261575_at
At1g01050	261579_at
At1g01670	261588_at
261589_at	261589_at
At1g01700	261590_at
At1g33070	261595_at
At1g49680	261600_x_at
At4g28870	261600_x_at
At1g49670	261601_at
At1g33130	261619_x_at
At1g50000	261628_at
At1g50080	261630_at
At1g49940	261631_at
At1g49975	261638_at
At1g27790	261645_at
At1g01920	261654_at
At1g18360	261661_at
At1g18330	261663_at
At1g18320	261664_s_at
At3g10110	261664_s_at
At1g18440	261666_at
At1g18500	261668_at
At1g18340	261671_at
At1g18480	261676_at
At1g47360	261679_at
At1g47400	261684_at
At1g47280	261687_at
At1g08360	261694_at
At1g32690	261700_at
At1g32600	261704_at
At1g32680	261706_at
At1g32650	261707_at
At1g32640	261713_at
At1g18485	261715_at
At1g18400	261717_at
At1g18390	261718_at
At1g18390	261719_at
At1g08480	261721_at
At1g76200	261723_at
At1g76185	261724_at
At1g47816	261730_s_at
At4g04520	261730_s_at
At1g47770	261732_at
At1g47765	261735_at
At1g47885	261737_at
At1g08390	261742_at
At1g08420	261743_s_at
At2g27210	261743_s_at
At1g15590	261759_at
At1g08190	261783_at
At1g30455	261797_at
At1g30550	261802_at
At1g30515	261807_at
At1g08320	261815_at
At1g11420	261820_at
At1g11530	261821_at
At1g10630	261831_at
261835_at	261835_at
At1g16090	261836_at
At1g11560	261847_at
At1g11370	261849_at
261855_at	261855_at
At1g50575	261867_at
At1g11470	261869_at
At1g80800	261888_at
At1g80690	261893_at
261904_at	261904_at
At1g65940	261918_at
At1g22510	261938_at
At1g22520	261940_at
At1g64560	261946_at
At1g64470	261947_at
At1g36590	261959_s_at
At3g11970	261959_s_at
At1g36550	261960_at
At1g36510	261961_at
At1g15560	261962_s_at
At1g36485	261962_s_at
At1g36430	261963_at
At1g36600	261964_at
261965_at	261965_at
At1g36470	261966_x_at
At1g50860	261966_x_at
At2g10630	261966_x_at
At2g12260	261966_x_at
At1g36440	261967_at
At1g65960	261970_at
261976_at	261976_at
At1g37057	261977_at
At1g37060	261978_at
At1g33820	261980_at
At1g33710	261987_at
At1g33660	261990_at
At1g33860	261993_at
261995_at	261995_at
At1g33830	261996_at
At1g33817	261997_at
At1g33813	261998_at
At1g33810	262000_at
At1g35590	262008_s_at
At1g40123	262008_s_at
At3g30680	262008_s_at
At4g03900	262008_s_at
At5g45085	262008_s_at
At1g35612	262010_at
At1g08735	262013_s_at
At1g21040	262013_s_at
At1g35640	262013_s_at
At2g29230	262013_s_at
At3g26525	262013_s_at
At5g44875	262013_s_at
At1g35663	262015_at
At1g35617	262018_at
At1g35647	262020_at
At1g35545	262021_at
At1g35510	262025_at
At1g37170	262030_s_at
At1g43210	262030_s_at
At1g43240	262030_s_at
At4g07522	262030_s_at
At4g08610	262030_s_at
At4g09625	262030_s_at
At1g37160	262031_x_at
At1g37150	262032_at
At1g37140	262033_at
At1g37110	262035_at
At1g80020	262052_at
At1g80245	262056_at
At1g80060	262067_at
At1g59510	262071_at
At1g56100	262083_at
At1g56060	262085_at
At1g55980	262089_s_at
At1g56000	262089_s_at
At1g56145	262093_at
At1g56090	262095_at
At1g56010	262096_at
At1g55990	262097_at
At1g02750	262107_at
At1g02813	262115_at
At1g59630	262123_at
At1g59660	262124_at
At1g59680	262125_at
At1g59620	262126_at
At1g52500	262129_at
At1g52610	262139_at
262153_at	262153_at
At1g52700	262154_at
At1g52540	262158_at
At1g77940	262163_at
At1g77860	262178_at
262182_at	262182_at
262186_at	262186_at
262187_at	262187_at
At1g77820	262191_at
At1g78040	262195_at
At1g74720	262209_at
At1g53885	262226_at
At1g53903	262226_at
At1g68690	262228_at
At1g48290	262243_at
At1g48240	262245_at
At1g53820	262252_at
At1g53790	262255_at
At1g53810	262256_at
At1g70895	262261_at
At1g42460	262265_at
At1g42450	262266_at
At1g42420	262267_at
At1g42410	262268_at
At1g40117	262270_x_at
At1g42365	262270_x_at
At1g42375	262270_x_at
At2g13390	262270_x_at
At3g30668	262270_x_at
At3g43304	262270_x_at
At4g06626	262270_x_at
At5g32426	262270_x_at
At1g42360	262271_x_at
At1g42370	262271_x_at
262273_at	262273_at
At1g68580	262280_at
At1g68680	262285_at
At1g68585	262286_at
At1g70985	262290_at
At1g70790	262291_at
At1g70870	262300_at
At1g70910	262302_at
At1g70920	262303_at
262311_at	262311_at
At1g27590	262322_at
At1g64030	262332_at
At1g64010	262334_at
At1g64220	262336_at
At1g64185	262338_at
At1g64250	262352_at
At1g64200	262354_at
At1g73066	262359_at
At1g72920	262382_at
At1g49370	262386_at
At1g49260	262390_at
At1g34660	262404_at
At1g34842	262409_at
At1g50290	262421_at
262422_at	262422_at
At1g23450	262423_at
At1g47680	262424_at
At1g47660	262425_at
At1g47600	262427_s_at
At1g51470	262427_s_at
At1g47520	262429_at
At1g47465	262437_at
At1g47485	262445_at
At1g49310	262446_at
At1g49250	262447_at
At1g11240	262453_at
At1g11200	262457_at
At1g50350	262462_at
262466_at	262466_at
At1g50160	262472_at
At1g50340	262475_at
At1g21770	262499_at
At1g11330	262507_at
At1g11290	262509_at
At1g11270	262510_at
At1g17145	262512_at
At1g17010	262527_at
At1g17090	262533_at
At1g17140	262538_at
At1g34240	262541_at
At1g34245	262543_at
262545_at	262545_at
At1g31270	262547_at
262551_at	262551_at
At1g31380	262554_at
At1g31400	262555_at
At1g31335	262558_at
At1g34280	262560_at
At1g34330	262564_at
At1g15300	262578_at
At1g15150	262589_s_at
At1g15160	262589_s_at
At1g15120	262593_at
At1g15250	262594_at
At1g15170	262605_at
At1g06620	262616_at
At1g06500	262631_at
At1g06630	262633_at
At1g06640	262637_at
At1g62820	262639_at
At1g14090	262650_at
At1g14100	262651_at
At1g14180	262654_at
At1g14070	262665_at
At1g62830	262668_at
At1g62850	262669_at
262670_s_at	262670_s_at
At1g76040	262671_at
At1g75930	262675_at
At1g75880	262680_at
At1g75900	262682_at
At1g20260	262684_s_at
At1g76030	262684_s_at
At1g62670	262687_at
At1g62680	262688_at
262692_at	262692_at
At1g43570	262718_at
At1g43590	262719_at
At1g43600	262720_s_at
At1g43610	262720_s_at
At1g28650	262739_at
At1g28600	262745_at
At1g10770	262760_at
At1g13220	262773_at
At1g13070	262779_at
At1g10850	262783_at
At1g10710	262792_at
262799_at	262799_at
At1g21010	262801_at
At1g11610	262815_at
At1g11755	262818_at
At1g14730	262831_at
262834_at	262834_at
At1g14960	262838_at
At1g20910	262852_at
At1g20860	262855_at
At1g14930	262857_at
At1g14760	262886_at
At1g59790	262893_at
At1g59930	262902_x_at
At1g64800	262917_at
At1g65000	262918_at
At1g79520	262940_at
At1g54270	262956_at
At1g75600	262973_at
At1g75780	262978_at
At1g23260	262990_at
262991_at	262991_at
At1g54210	262992_at
At1g54230	262993_at
At1g54420	262994_at
At1g54440	262996_at
At1g54470	262997_at
At1g54260	263007_at
At1g54470	263008_at
At1g54370	263009_at
At1g23250	263011_at
263012_at	263012_at
At2g17610	263018_at
At1g23990	263025_at
At1g24000	263026_at
At1g24010	263027_at
At1g23340	263042_at
At1g40105	263051_s_at
At2g04210	263051_s_at
At2g12720	263056_at
At2g07650	263058_at
At2g07660	263059_at
At2g07773	263060_s_at
AtMg00910	263060_s_at
At2g17490	263071_at
At2g05390	263079_at
At2g16090	263085_at
At2g16110	263086_at
At2g16000	263089_at
At2g05200	263099_at
At1g65220	263110_at
At1g03055	263115_at
263140_at	263140_at
At1g54180	263173_at
At1g05710	263179_at
At1g05575	263182_at
At1g05520	263185_at
At1g36110	263186_at
263187_at	263187_at
At1g36095	263188_at
At1g36105	263190_at
263191_at	263191_at
At1g36150	263195_at
At1g05490	263203_at
At1g05490	263204_at
At1g10585	263210_at
At1g30660	263214_at
At1g30750	263227_at
At2g31440	263247_at
At1g10540	263258_at
263261_at	263261_at
263268_at	263268_at
263269_at	263269_at
263270_at	263270_at
At2g11650	263272_at
At2g11590	263273_x_at
At2g14120	263278_at
At2g14130	263279_x_at
At3g47260	263279_x_at
At1g32830	263280_x_at
At2g14140	263280_x_at
At2g14095	263282_at
At2g36120	263285_at
At2g36145	263287_at
At2g10900	263292_at
At2g10880	263293_x_at
263300_at	263300_at
At2g04970	263301_x_at
At2g06440	263301_x_at
At2g14140	263301_x_at
At2g15200	263301_x_at
263302_at	263302_at
At2g12480	263306_at
At2g10460	263312_at
At2g05755	263315_at
At2g24762	263318_at
At2g04970	263335_x_at
At2g06440	263335_x_at
263336_x_at	263336_x_at
At2g04990	263337_at
At2g05010	263339_at
At2g05020	263340_at
At2g05080	263342_at
At2g05660	263346_at
At1g32820	263357_s_at
At2g04950	263357_s_at
At2g06450	263357_s_at
At2g07250	263357_s_at
At2g14150	263357_s_at
At2g15150	263357_s_at
At2g15210	263357_s_at
At3g30455	263357_s_at
At3g32901	263357_s_at
At3g47280	263357_s_at
At4g03980	263357_s_at
At5g34890	263357_s_at
263366_at	263366_at
At2g20460	263367_at
263368_at	263368_at
At2g20515	263373_at
At2g11690	263388_at
At2g11680	263389_at
At2g10490	263392_at
At2g10465	263394_at
At2g04038	263407_at
At2g04060	263408_at
At2g04063	263409_at
At2g04039	263410_at
At2g17250	263415_at
At2g31700	263423_at
At2g31510	263424_at
At2g22240	263433_at
At2g28605	263442_at
At2g31780	263462_at
At2g31940	263465_at
At2g31730	263467_at
At2g31725	263474_at
At2g04032	263480_at
At2g04025	263481_at
At2g07672	263500_s_at
AtMg01050	263500_s_at
At2g07673	263501_s_at
AtMg01030	263501_s_at
At2g07675	263502_s_at
AtMg00980	263502_s_at
At2g07676	263503_s_at
AtMg00970	263503_s_at
At2g07677	263504_s_at
AtMg00940	263504_s_at
At2g07678	263505_s_at
AtMg00920	263505_s_at
At2g07683	263506_s_at
AtMg00810	263506_s_at
At2g07685	263507_s_at
AtMg00770	263507_s_at
At2g07685	263508_s_at
AtMg00760	263508_s_at
At2g07687	263509_s_at
AtMg00730	263509_s_at
At2g07681	263510_s_at
At2g07771	263510_s_at
AtMg00900	263510_s_at
At2g12420	263511_at
263512_at	263512_at
At2g31860	263514_at
At2g21655	263518_at
At2g24930	263523_at
At2g24920	263524_x_at
263530_at	263530_at
At2g25020	263531_s_at
At3g31900	263531_s_at
At2g17033	263550_at
At2g16380	263558_at
At2g15380	263559_at
At2g15410	263563_at
263568_at	263568_at
At2g17030	263579_at
At2g17140	263580_at
At2g01840	263592_at
At2g16485	263605_at
At2g04670	263617_at
263620_at	263620_at
At2g04675	263627_at
At2g04845	263630_at
At2g04890	263633_at
At2g11940	263634_at
263635_at	263635_at
At2g04760	263641_at
At2g04730	263644_at
At2g04720	263645_at
At2g04710	263646_at
263659_at	263659_at
At1g04480	263665_at
At2g04820	263672_at
At2g04790	263674_at
At2g04770	263675_x_at
At1g26860	263682_at
At1g31210	263694_at
At3g60565	263694_at
At1g31100	263698_at
At2g20585	263712_at
At2g20595	263713_at
At2g13650	263722_at
At1g60090	263730_at
At1g59980	263732_at
At1g60020	263733_at
At2g20625	263742_at
At2g21460	263746_at
263750_at	263750_at
At2g21310	263752_at
At2g06310	263767_at
At2g06330	263768_x_at
At2g06390	263769_at
At2g06410	263770_at
At2g06260	263771_at
At2g06255	263772_at
At2g46375	263784_at
At2g24660	263792_at
At2g24600	263800_at
At2g06310	263801_at
At2g04305	263806_at
263812_at	263812_at
At1g41910	263813_s_at
At2g10000	263813_s_at
At2g10010	263814_at
At2g10140	263819_x_at
At2g40410	263826_at
At2g40435	263829_at
263833_at	263833_at
At2g36885	263840_at
At2g36835	263842_at
At2g04490	263849_at
At2g21970	263875_at
At2g21880	263876_at
At2g36940	263885_at
263893_at	263893_at
At2g36380	263904_at
At2g36485	263923_at
At2g36070	263939_at
263941_at	263941_at
At2g12870	263965_at
At1g36270	263966_s_at
At1g42510	263966_s_at
At2g13000	263966_s_at
At3g30790	263966_s_at
At2g12990	263967_at
At1g36260	263968_s_at
At1g42500	263968_s_at
At2g12980	263968_s_at
At3g30780	263968_s_at
At5g19015	263968_s_at
At2g12940	263969_at
At2g42740	263973_at
At2g13020	263991_at
At2g12920	263992_at
263993_at	263993_at
263995_at	263995_at
At2g22475	264003_at
At2g22425	264004_at
At2g21100	264010_at
264015_at	264015_at
At2g21185	264022_at
At2g21195	264023_at
264036_at	264036_at
At2g22390	264049_at
264058_at	264058_at
At2g31305	264059_at
264072_at	264072_at
264073_at	264073_at
At2g10780	264074_at
264088_at	264088_at
At2g31200	264089_at
At1g78995	264096_at
At2g13750	264104_at
At2g13760	264105_x_at
264106_at	264106_at
At2g13730	264110_at
At1g79150	264118_at
At1g79190	264128_at
At1g79170	264129_at
At1g79150	264131_at
At1g79100	264132_at
At1g78960	264137_at
At1g78950	264138_at
At1g79210	264140_at
At1g02250	264149_at
At1g02070	264151_at
At1g65445	264163_at
At1g65370	264166_at
At1g02100	264171_at
At1g02120	264172_at
At1g02160	264173_at
At1g02228	264174_s_at
At1g47910	264174_s_at
At1g02180	264179_at
At1g65350	264181_at
At1g54580	264189_s_at
At1g54630	264189_s_at
At1g54720	264234_at
At1g78680	264250_at
At1g09150	264254_at
264270_at	264270_at
At1g60270	264271_at
At1g61830	264281_at
At1g62040	264285_at
At1g62045	264288_at
264295_at	264295_at
At1g78895	264304_at
At1g04200	264321_at
At1g12080	264342_at
At1g03200	264354_s_at
At1g03240	264354_s_at
At2g25220	264378_at
At1g11950	264390_at
264397_at	264397_at
At1g61720	264401_at
At1g10290	264406_at
264409_s_at	264409_s_at
At1g43205	264410_s_at
At1g43230	264410_s_at
At4g07523	264410_s_at
At5g27180	264410_s_at
264411_at	264411_at
At1g43260	264412_at
At1g43140	264416_at
264417_at	264417_at
At1g43320	264420_at
At1g43170	264421_at
264429_at	264429_at
At1g10260	264451_s_at
At1g11265	264451_s_at
At1g21945	264451_s_at
At1g48710	264451_s_at
At1g58140	264451_s_at
At3g32415	264451_s_at
At3g59720	264451_s_at
At3g61330	264451_s_at
At5g13205	264451_s_at
At1g10300	264453_at
At1g10410	264458_at
At1g10160	264459_at
At1g10190	264461_s_at
At4g15050	264461_s_at
At1g77150	264475_s_at
At1g77170	264475_s_at
At1g77280	264479_at
At1g77260	264484_at
At1g27430	264492_at
At1g27461	264494_at
At1g27285	264496_at
At1g10090	264515_at
At1g10090	264516_at
264530_at	264530_at
At1g30790	264531_at
At1g55720	264533_s_at
At1g55730	264533_s_at
At1g55805	264546_at
264552_at	264552_at
264556_at	264556_at
At1g09600	264558_at
At1g55760	264562_at
264569_at	264569_at
264572_at	264572_at
At1g05205	264579_at
At1g05200	264587_at
At1g04750	264595_at
At1g04625	264596_at
At1g04670	264603_at
At1g04550	264605_at
At1g04710	264608_at
At1g04640	264613_at
264628_at	264628_at
At1g65490	264636_at
At1g09080	264648_at
At1g08970	264650_at
At1g09920	264671_at
At1g09815	264674_at
At1g65510	264680_at
At1g65570	264682_at
At1g65610	264685_at
At1g09900	264689_at
At1g70010	264691_s_at
At4g03530	264691_s_at
264695_at	264695_at
At1g70210	264697_at
At1g70200	264698_at
At1g09730	264707_at
At1g22960	264723_at
At1g22885	264725_at
At1g22985	264726_at
264732_at	264732_at
At1g62130	264742_at
At1g62090	264743_at
264747_at	264747_at
At1g61400	264754_at
At1g61480	264759_at
At1g61450	264763_at
At1g61440	264764_at
At1g61430	264765_at
At1g61420	264766_at
At1g61410	264768_at
At1g22890	264774_at
At1g08720	264780_at
At2g17910	264785_at
At2g17845	264791_at
At1g08680	264795_at
At1g08680	264796_at
At1g03410	264826_at
264829_at	264829_at
At2g17340	264850_at
At1g24350	264869_at
At2g17330	264877_at
At1g61110	264882_at
At1g60750	264912_at
264915_at	264915_at
At1g60540	264919_at
At1g61240	264932_at
At1g61160	264933_at
264934_at	264934_at
At1g76910	264943_at
At1g77080	264945_at
At1g77080	264949_at
264950_at	264950_at
At1g77090	264959_at
At1g60600	264963_at
At1g60460	264964_at
At1g27130	264986_at
At1g67240	264995_at
At1g26990	265004_at
At1g61667	265005_at
At1g61563	265007_s_at
At1g61566	265007_s_at
At1g24640	265015_at
265019_at	265019_at
At1g24575	265025_at
At1g04080	265036_at
At1g03950	265044_at
At1g35060	265046_s_at
At1g52090	265046_s_at
At5g28173	265046_s_at
At5g36075	265046_s_at
At1g52100	265051_at
At1g52010	265054_x_at
At2g05570	265054_x_at
At3g32397	265054_x_at
At3g43360	265054_x_at
At1g52020	265055_at
At1g03850	265067_at
At1g55545	265069_at
265087_at	265087_at
At1g62530	265112_at
At1g62460	265113_at
At4g09455	265113_at
At1g55440	265123_at
At1g55410	265125_at
At1g51270	265135_at
At1g51270	265136_at
At1g51300	265138_at
265143_at	265143_at
At1g30935	265152_s_at
At1g30940	265152_s_at
At1g31030	265157_at
At1g31040	265158_at
At1g23580	265163_at
At1g23600	265164_at
265166_at	265166_at
At1g23640	265177_at
At1g23650	265179_at
At1g23590	265180_at
At1g23670	265185_at
265202_at	265202_at
265209_at	265209_at
At2g36620	265210_at
At1g05030	265212_at
At2g07695	265227_s_at
AtMg01280	265227_s_at
At2g07698	265228_s_at
AtMg01190	265228_s_at
At2g07666	265229_s_at
At2g07701	265229_s_at
AtMg00430	265229_s_at
AtMg01150	265229_s_at
At2g07707	265230_s_at
AtMg00480	265230_s_at
At2g07713	265231_s_at
AtMg00540	265231_s_at
At2g07715	265232_s_at
AtMg00560	265232_s_at
At2g07718	265233_s_at
AtMg00590	265233_s_at
At2g07721	265234_at
At2g07719	265235_s_at
AtMg00610	265235_s_at
At2g07714	265236_s_at
AtMg00550	265236_s_at
At2g07706	265237_s_at
AtMg00470	265237_s_at
At2g07696	265238_s_at
AtMg01270	265238_s_at
At2g07692	265239_s_at
AtMg01300	265239_s_at
At2g07691	265240_s_at
AtMg01310	265240_s_at
At2g07693	265241_at
At2g07705	265242_at
At2g01960	265251_at
At2g28355	265280_at
At2g14030	265294_at
265295_at	265295_at
At2g13930	265298_s_at
At3g27327	265298_s_at
At2g13940	265299_at
At2g13970	265302_at
At2g14040	265303_at
265317_at	265317_at
At2g18240	265325_at
265346_at	265346_at
At2g16595	265356_at
At2g13250	265360_s_at
At2g13260	265360_s_at
At2g13230	265361_at
At2g13230	265362_at
At2g13335	265363_at
At2g13330	265364_at
At2g13310	265365_at
At2g01024	265369_s_at
At2g01026	265369_s_at
At2g01034	265369_s_at
At2g06470	265369_s_at
At2g07660	265369_s_at
At2g10780	265369_s_at
At2g12930	265369_s_at
At3g29615	265369_s_at
At3g30413	265369_s_at
At3g42996	265369_s_at
At4g03840	265369_s_at
At4g16910	265369_s_at
At5g29075	265369_s_at
At5g30102	265369_s_at
At2g01029	265370_s_at
At2g06460	265370_s_at
At2g06480	265370_s_at
At2g10770	265370_s_at
At2g10790	265370_s_at
At3g30415	265370_s_at
At2g06490	265371_at
At2g16670	265380_at
At2g16680	265381_at
At2g20810	265391_at
At2g21040	265396_at
At2g16610	265406_at
265409_at	265409_at
At2g20805	265434_at
At2g21000	265436_at
At2g21045	265439_at
At2g46510	265452_at
265466_at	265466_at
At2g37160	265469_at
At2g15535	265473_at
265486_at	265486_at
At1g50810	265491_s_at
At2g15650	265491_s_at
At2g15695	265495_at
At2g15700	265496_at
At2g15720	265497_at
At2g15510	265503_at
At2g15540	265506_at
At1g42110	265507_s_at
At2g15940	265507_s_at
At2g15920	265509_at
At2g06130	265514_s_at
At2g07780	265514_s_at
At3g15602	265514_s_at
At2g06120	265515_at
At2g06110	265516_at
At2g06010	265521_at
At2g06190	265523_at
At2g06180	265524_at
At2g06170	265525_at
At2g06160	265526_x_at
At2g06150	265527_at
At2g06220	265528_at
At2g11390	265534_at
At2g15870	265537_at
At2g15810	265540_at
At2g07620	265548_s_at
At3g31980	265548_s_at
At2g07510	265550_at
At2g07550	265553_at
At2g07505	265554_at
At2g07500	265555_at
At2g07490	265556_at
At2g05640	265557_at
At2g05550	265558_at
At2g05470	265563_s_at
At2g12120	265563_s_at
At5g28482	265563_s_at
At2g05460	265564_s_at
At2g12110	265564_s_at
At2g16170	265564_s_at
At5g28480	265564_s_at
At2g05610	265565_at
At2g05580	265567_at
265572_at	265572_at
265574_at	265574_at
At2g20160	265590_at
At2g20142	265597_at
265598_at	265598_at
265599_at	265599_at
At2g14230	265600_at
At2g14380	265602_at
265603_at	265603_at
At2g14350	265604_s_at
At3g33225	265604_s_at
At3g35707	265604_s_at
At2g25370	265607_at
At2g25420	265609_at
265612_at	265612_at
At2g25500	265616_at
At2g27320	265619_at
At2g27285	265627_at
At2g14300	265631_at
265638_at	265638_at
At2g27375	265639_at
At2g27395	265640_at
At2g13890	265652_x_at
At2g13890	265653_at
At1g52850	265654_s_at
At2g13870	265654_s_at
At2g13920	265655_at
At2g32060	265671_at
265674_at	265674_at
265693_at	265693_at
265696_at	265696_at
At2g32160	265698_at
At1g39110	265743_s_at
At2g06720	265743_s_at
At3g42720	265743_s_at
At2g06660	265744_at
At2g06640	265745_at
At2g10620	265748_at
At2g10610	265749_at
At2g10740	265750_x_at
At2g10690	265751_at
At2g10660	265752_at
At2g10650	265753_at
At2g10640	265754_x_at
At2g10630	265755_at
At2g13160	265757_x_at
At2g34130	265757_x_at
At4g02314	265757_x_at
At2g07330	265775_at
At2g07380	265780_at
At2g07430	265781_at
At2g07455	265783_at
265788_at	265788_at
At2g01280	265791_at
At2g35670	265801_at
At2g35733	265802_at
At2g18115	265803_at
At2g17975	265815_at
At2g17972	265819_at
At2g35635	265825_at
At2g35795	265826_at
265829_at	265829_at
265830_at	265830_at
At2g14450	265832_at
At2g14420	265833_at
At2g14410	265834_at
265835_at	265835_at
At2g14550	265838_at
At2g35736	265849_at
At2g01700	265859_at
At2g01735	265888_at
At1g40107	265890_s_at
At2g14980	265890_s_at
At4g08070	265890_s_at
At5g28526	265890_s_at
At2g15042	265893_at
At2g15000	265895_at
At2g25730	265900_at
At2g25565	265906_at
At2g15060	265914_at
At2g15070	265915_at
At3g31920	265916_at
At2g15100	265919_at
At2g18580	265928_at
265956_at	265956_at
At2g11110	265969_at
At2g11210	265970_at
At2g11220	265971_at
At2g11235	265972_at
At2g11240	265973_at
265974_at	265974_at
At2g11270	265975_at
At2g11120	265976_at
265977_at	265977_at
At2g11140	265978_at
At2g11150	265979_at
At2g11165	265980_at
At2g11166	265981_s_at
At4g19280	265981_s_at
At5g36060	265981_s_at
At2g11190	265982_at
At2g24255	265988_at
At2g24160	265993_at
At2g37440	266011_at
At2g07699	266012_s_at
At2g07741	266012_s_at
AtMg00410	266012_s_at
AtMg01170	266012_s_at
At2g07670	266013_s_at
At2g07702	266013_s_at
AtMg00440	266013_s_at
AtMg01140	266013_s_at
At2g07722	266014_s_at
AtMg00170	266014_s_at
AtMg00620	266014_s_at
At2g05930	266023_at
At2g05960	266025_at
At2g05980	266026_at
At2g05820	266027_at
At2g05870	266030_x_at
266031_at	266031_at
At2g05890	266032_x_at
At2g05990	266035_at
At2g07739	266039_s_at
AtMg00370	266039_s_at
At2g07738	266040_at
At2g07736	266041_s_at
AtMg00300	266041_s_at
At2g07734	266042_s_at
AtMg00290	266042_s_at
At2g07724	266043_at
AtMg00200	266043_at
At2g07725	266044_s_at
AtMg00210	266044_s_at
At2g07727	266045_s_at
AtMg00220	266045_s_at
At2g07728	266046_at
At2g40790	266048_at
At2g40760	266051_at
At2g40690	266058_at
At2g37830	266082_at
At2g37790	266087_at
At2g37975	266094_at
At2g38040	266099_at
At2g40720	266102_at
At2g02061	266111_at
At2g02210	266112_x_at
At3g47260	266112_x_at
266113_x_at	266113_x_at
266114_at	266114_at
266128_at	266128_at
At2g28085	266139_at
At2g38905	266143_at
266145_at	266145_at
266146_at	266146_at
At2g12230	266147_at
At1g36460	266148_x_at
At2g12240	266148_x_at
At3g29730	266148_x_at
At1g50850	266149_x_at
At2g12250	266149_x_at
At2g12300	266151_x_at
At2g12050	266152_s_at
At3g31908	266152_s_at
At3g32377	266152_s_at
At2g12320	266153_at
At2g12190	266154_at
266155_at	266155_at
266162_at	266162_at
At2g02270	266177_at
266183_at	266183_at
At2g06820	266211_at
At2g06840	266212_at
At1g35760	266213_s_at
At2g06870	266213_s_at
At2g06890	266214_at
266217_at	266217_at
At2g28755	266220_at
At2g27570	266263_at
At2g27775	266264_at
At2g29340	266265_at
